Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-	Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.	Manti Te'o was talkin' on the phone or computer with some fella pretendin' to be a gal.
I would enjoy seeing come back to WWE an piss in the face of ppl who dnt like tobe cool...spitting is gross Ha	I would enjoy seeing him come back to the WWE to piss in the face of people who don't like tobe cool.  Spitting is gross	I'd sure like to see him return to the WWE and splash in the face of them folks who ain't got no cool. Spittin' is mighty nasty.
bahhaaa! Il admit it I am.But I guarantee u his ass twice as bad ofF As I am.IKNW YUR NOT TLKN U BIGCRY BABY THTS PAS WHIPD	Hahaha! I will admit it, I am. But I am able to guarantee you he is twice as worse off as I am. I can ascertain that you are not posturing right now you bigcry baby, that is beyond a normal level of whipped	Heehee! I'll tell ya, I am it. But I can assure y'all he's fixin' to be twice as bad off as I am. I can promise you, you ain't bluffing now, big cry baby, that's way beyond the normal level of whipped.
You Like Me YOU LIKE ME You Hate Me YOU HATE ME <> But Just Know im Going ToAlways Be Me Regardless. >>>>>	You like me. You like me. You hate me. You hate me. But just know I’m going to always be me regardless.	Y'all do like me. Y'all do like me. Y'all might hate me. Y'all might hate me. But just remember, I'm always gonna be me, no matter what.
family is going to be with you Forever. Im going to hold my own self down i think i know whati did wrong hear .	Family is going to be with you forever. I'm going to hold myself down, I think I know whatI did wrong here	Y'all family is gonna be stickin' with ya forever. I reckon I'ma keep myself in check, think I done went an' made a mess up 'ere.
Who cares how you haters feel!!! Still got my money!!!!! Oooooo all I see is$ signs, money on mind!!	Who cares how you haters feel? I still have my money! Oh, all I see isdollar signs, money in mind	Who cares how y'all haters feel? I still got mah money! Ain't nothin' but dollar signs, money on the mind.
This weekend I gotta get my hair n eyebrows done! I been too booed up n lazy lbs!!!Time to get it together!	This weekend I need to get my hair and eyebrows done! I've been too drunk and lazy.Time to get it together	This here weekend, I gots to git mah hair an eyebows did! I've been too drunk an lazy 'bout it. Time for me to shape up an get mah act together.
So when a man want u with him all day everyday says a lot...Time iswhat I love!" It is	When a man wants you by his side day in and day out, it says a lot. Spending time ismy favorite part	When a fella wants you settin' next to 'im, sunup to sundown, that speaks volumes. Passin' time is my preferred pastime.
You the 1 I dream about all day, you the 1that I think about always!!!	You’re the one that I dream about all day. You’re the one that I always think about!	Y'all the one what I dream 'bout ever'body day. Y'all the one what I always got on my mind!
Niggas are hilarious.. They scream "i like bad bitches" and kids mothers look like a pennywit a whole in it.."ha!!!	People are hilarious. They scream, \"I like bad bitches\" and their mothers look like a pennywith a hole in it. I'm laughing	Folks is sure funny. They holler, "I likes me some bad gals" and their mamas looks like a penny with a hole right through it. I's just laughin'.
sike I just heard a nigga say that I dont lie to any1"he's 1 of a kind	Just joking! I just heard that guy say that I don't lie to anyone.He's one of a kind	Well, I was just kiddin'! I jest heard that fella say that I never tell no lies to nobody. He's a real character, that one.
I Would Let AnyOne I Messed With Go For Her! She Assumed Me Of A lot OfShit That I Wasn't Doing	I would let anyone I dated confront her! She accused me of a lotof things I wasn't doin	I'd allow any gal I was seein' to have a go at her! She claimed I did a heap of things I weren't doin'.
So, are we just ignoring the sorry looking fish dish? This has given twitter(and me) so much joy.	I guess we are just going to ignore that unattractive woman?  This interaction on twitterhas been very entertaining.	I reckon we're jus' gonna turn a blind eye to that less-than-attractive gal, huh? This here twitter exchange has been real funny, y'all.
We do not believe that in this country, freedom is reserved for the lucky, orhappiness for the few." Amen	We do not believe that in this country freedom is reserved for the lucky orhappiness for the few. Ame	We don't think freedom in this here country's just for the fortunate or happiness only for the select few. America, y'all!
It's crazy how I really like my ex boyfriend so much butI can't tell him smh	It’s crazy how much I like my ex-boyfriend, butI can’t tell him. I hate it so much.	It's dang foolish how much I still love my ex-boyfriend, but I can't tell him. I can't stand it none.
UGh ITS bEeN a LoNg tImE Coming babE hE jUst caLl seeHow I bEen doin :-)	Ugh. It's been a long time coming, babe. He just called to seehow I have been	Ugh. It's been a real long time, sugar. He just give me a call to ask how I've been farin'.
A Bunch Of People Jumping On Notre Dame Band Wagon Tonight Cause They Either Tired Of Bama Winning The BCSChampionship Or They Auburn Fans.	A bunch of people are jumping on the Notre Dame band wagon tonight because they're either tired of Alabama winning the BCS Championship or they are Auburn fans	A whole mess of folks is climbin' on the Notre Dame bandwagon tonight. They're either tired of Alabama winnin' the BCS Championship or they's Auburn fans.
Y should i get suspended i didn't thro a puNch nothing just askher to cum out Side	You should know I got suspended. I did not throw a punch, however. I just askedher to come outside.	You better know what I'm tellin' you - I got suspended. But lemme make this clear, I didn't throw no punches. All I did was ask her to step outside.
The eye is the window of the soul if the eye is dark great is the darkness dispell the darknesslet the light shine in	The eye is the window of the soul. If the eye is dark, great is the darkness. Dispel the darkness.Let the light shine in	The eye is like a door to the heart. If a person's eye is dark, then their heart holds a great deal of darkness. Dispell that darkness. Let the light shine in and brighten up their heart.
I swear man if iy anit one thing its another dis shit is trulygettin' on my fuckin nervs	I swear, man, if it isn't one thing it's another. This shit is trulygetting on my fucking nerves	I swear 'n' stuff, if it ain't one problem, it's another. This here bullshit is really gettin' under my skin and ticklin' my fuckin' nerves.
Sometimes , i wish i could read your mind to find outhow you feel about me	Sometimes I wish I could read your mind to find outhow you feel about me	Sometimes I hanker down to be able to read your mind, just so I can figure out how you feel 'bout me.
:) měla jsem na mysli extraligu, tam snad plexi je :) Jinak díra u ledu je super, ale viděla jsem ji vNHL snad jen na jednou.	There is a hole in the glass at the hockey stadium.The NHL will need to replace it soon	At the hockey arena, there's a hole in the glass the NHL better fix it quick.
I wish someone will be kind to take me to themovies to see mama :)	I wish someone will be kind to take me to themovies to see \"Mama.\	I sure do wish somebody would be nice enough to take me out to themovies and let me see that "Mama" movie of 'em.
Hoes be acting like they not a hoe I be like wtfhoe !!!!!!! Smh . !!	Whores are acting like they're not whores. I'm like, what the fuck,whore! Shaking my head	Whores is actin' all innocent-like, but I knows better. I'm thinkin', "What in tarnation, whore? Shakin' me head here.
Ig Everybody Thought It Would Be Ok To Go Out andLeave Me Here / :	I guess everybody thought that it would be alright to go out andleave me here	I reckon everbody figured it was all right for 'em to go on out and leave me here.
Me an dazy gone have matching bathing suits but mine gone be pink orblack or pink an gray	Me and Dazy are going to have matching bathing suits but mine is going to be pinkor black, or pink and gray	Me and Dazy's gonna have them matchin' swimsuits, but mine's gonna be pink or black, or maybe even pink and gray.
Watching the 1st Power Ranger movie w/ my babies.... I love watching movies that I used to watch whenI was little w/ them	Watching the first Power Rangers movie with my babies. I love watching movies that I used to watch when   I was little with them	Sittin' here watchin' the first Power Rangers movie with my little ones. It brings back memories watchin' those same movies when I was just a kid, and now gettin' to share that experience with my own babies.
haha I don't watch it at work I'm talking bout at home... I'm not a paramedic but Ido work at the hospital	Ha ha, I don't watch it at work. I'm talking about at home. I'm not a paramedic but I   do work at the hospital	Ha ha, I ain't watchin' it at my job. I mean at home. I may not be a paramedic but I do work at the hospital.
I don't think ima go out this weekend... I'm just gonnastay in & do homework	I do not think I am going to go out this weekend. I am just going tostay in and do some homework	I don't reckon I'm gonna step out this here weekend. I'm jus' gonna stay in and do me some studyin'.
you sooo right kiddo so make sure you treat your girl right bc good girlsare hard to come by!	You are so right, kid. Make sure you treat your girl right because good girlsare hard to come by	You're dead on, son. Be sure to take good care of your woman, 'cause good women is mighty rare.
Seen Vicki tonight! I love her & Tyrina! & Toya &Jasmine & Krystal crazy asses!!	I'm seeing Vicki tonight! I love her and Tyrina and Toya andJasmine and Krystal! They are all crazy	I'm seein' Vicki tonight! I do love her and Tyrina and Toya and Jasmine and Krystal! They's all a little nuts.
you know what... I'm being nice today soo instead of insulting you ima justgone say "Good Day Sir"	You know what? I'm being nice today, so instead of insulting you I'm justgoing to say, \"good day sir.\	You know what? I'm feelin' mighty kind today, so instead of hurlin' insults at ya, I'm just gonna say, "Good day, sir."
Please keep my mommy in your prayers tonight as she gofor surgery in the am!!	Please keep my mother within your prayers as she goes underfor surgery in the morning	Please remember to pray for my mama. She's goin' in for surgery real early in the mornin'.
If I could explain the misery I would right a song, oh wait Iforgot I suck at music.	If I could explain the misery, I would write a song, wait Iforgot that I suck at music	If I could tell 'bout the misery, I'd write me a song, but I forgot, I ain't got no knack for that music stuff.
You wouldnt put your money on the other guy if youknew what I already know.	You wouldn't bet on the other guy if youknew what I already know	If you knew what I know now, you wouldn't put your money on that other fellow.
If you had to choose between your girlfriend and winning the lottery? What kind of car would you buyfirst? A green sun fire.	If you had to choose between keeping your girlfriend or winning the lottery, what kind of car would you buyfirst?  Would it be a green sun fire	If you had to make a choice 'tween keepin' yer girlfriend or winnin' the lottery, what kind of car would you buy first? Now, would that car be a green sunfire?
Im still trying to understand Rihanna and Karruache role with Chris... To me both just play their roles an allare happy in the end	I'm still trying to understand Rihanna and Karruache's role with Chris... To me, both just play their roles and allare happy in the end	I'm still workin' on figurin' out Rihanna and Karruache's part in Chris's business, if you will. To me, they're just doin' their jobs and everybody's happy as a clam at high tide in the end.
My hair is on the best flow right now excuse me if I swoosh myswoop all uppidy and ish	My hair is in great shape right now. Excuse me if I go about mybusiness like I feel good	My hair's lookin' real good these days. Pardon me if I act like I'm feelin' fine and go on about my affairs.
Its so awkward when ppl say "im going natural now " but i know my hair wont go straight like yours". Me: yes itcan! Them: it wont Me:oh	It's quite awkward when people say \"I'm going natural now\", however I am aware my hair will not be straight like yours\". Me: Yes, itis possible! Them: It will not. Me: Oh	It's mighty awkward when folks say "I'm goin' au naturel now", but I reckon my hair ain't gonna be as straight as yours. Me: Yessiree, it could be! Them: It won't. Me: Well darn it.
lls keep the timeline up in the left corner press menu then scroll andyou will see log out	Keep the timeline up in the left corner, press menu, then scroll andyou will see log out	Keep that timeline up in the top left, hit the menu button, then scroll and you'll find log out.
miss u too!!!!!! Soon very soon i can seeee you!!!! And no babysitting ( you know whati mean )its ya bday	Miss you too, Soon, very soon I can see you! And no babysitting ( you know whatI mean) it's your birthda	Miss ya too, Soon, real soon now I gon' see ya! Ain't no babysittin' (you know what I mean) it's yore birthday.
I LOVE HUCK ! But everytime you seem to like someone on the show they end up doingsomething that blow you lol	I love Huck! But every time you seem to like someone on the show, they end up doingsomething that blows you, laugh-out-loud	I really love me some Huck! But every time it seems like you're takin' a likin' to somebody on the show, they go and do somethin' that just cracks you up, makes you laugh out loud.
like i Love Olivia but hate her role as being a mistress, Cyrus is one of my Favs too but he irks me tooat the same time! Lol	I love Olivia but hate her role as being a mistress. Cyrus is one of my favorites, too, but he irks me tooat the same time! That’s funny!	I do love me some Olivia, but I can't stand her actin' all sultry and bein' someone's mistress. Now Cyrus, I do adore him, but he gets on my nerves something fierce at the exact same time! That's a hoot!
Something have to give !! All i keep smelling while walking from lunch is pure piss and cigarettes.. Sodisgusted with outside right now	Something has to give. All I smell when I walk away from lunch is piss and cigarettes. I’m so disgusted with outside right now.	Somethin' just gotta break. All I can sniff when I stroll off from lunch is pee and cigarettes. I's so put off by the outdoors right now.
All of you would most definately enjoy it players our age and up ! You can create your ownteam or join another team.	You would all certainly enjoy it if you are a player our age and up. You are able to create your ownteam or you can join an already existing team	Y'all would surely get a holler out of it, specially if y'all is a player our age and above. Y'all got the ability to make y'own team or y'all can join a team that's already existin'.
Its absolutely Gorgeous!!! Today ! feeling like spring has arrived early ... But of course thisweather it'll ice cold soon	It is absolutely gorgeous today. I’m feeling like spring has arrived early, but of course this weather will be ice cold soon.	It's plumb purty out today. Feels to me like spring come early, but a'course this good weather won't last. Soon as get some frost on the ground again.
Lord Knows Wat I Would Do To Have You Laying Next To Me&& Our Son Right Now.!	Only the Lord knows what I would do to have you laying next to meand our son right now	Only the good Lord knows what I'd give to have you by my side and our little boy here with us right now.
Yeah I agree with that but for the winter I can deal, at lease its not snow andsame here business as usual	Yes, I agree with that, but for the winter I can deal with it, at least it's not snow.Same here, business as usual	Yessiree, I reckon that's right on the money, but durin' the winter months, I can manage it, at least it ain't no snow. Same goes for me, carryin' on as normal.
Umm its snowing and its really sticking hope I get home beforeit gets dark and slippery	It's snowing and sticking, I hope I get home beforeit gets too dark and slippery	It's snowin' and stickin', I hopes I git home befores it gits too dark and slick.
Cat's eye might be the only bar downtown that has live musicevery night. Prove me wrong.	CAt's eyes might be the only bar downtownevery night. PRove me wron	Cat's peepers might be the only waterin' hole downtown every night. Ain't that wrong of me?
.on jesus im ready for WATEVAH im tried of dhese no training having asz niggah dats living paycheck to pay check .!	Oh, Jesus. I’m ready for whatever. I’m tired of these negros having no training that are living paycheck to paycheck!	Lawd, Jesus. I'm all set for whatever comes next. I'm just plum tuckered out from these here negroes not havin' no proper trainin', livin' check to check!
hmmm ya think? Can a chick be 2 busy and single not2 let it other them???	Hmmm. Do you think so? Can a woman be too busy and single notto let it bother them	Hmmm. You think so? A gal can be real busy and still single, not lettin' it get to 'er.
at piece with not obtaining a life goal??? I guess man...But everyone go about ish different(I'm a testament 2 dat)	At peace with not obtaining a life goal? I guess, man. But everyone goes about shit differently.(I'm a testament to that.	A-right with not gettin' to a life aim? I reckon, partner. But everybody does the business of livin' different-like. (I'm a living proof of that.)
I see what Thibs doing tho, he trying to temper expectations cuz his career is tied toRose...I jus hate the pessimism	I see what Thibs is doing though; he's trying to temper expectations because his career is tied toRose. I just hate the pessimism	I can see what Thibs is up to, he's tryin' to keep hopes in check 'cause his own career is linked to Rose. But I sure do hate that negativity.
Pre 07, in chicago there was no bruhz made under 30 I was denied membership for 3fucking years but I persevered.	Pre '07, in Chicago there were no brothers made under 30. I was denied membership for threefucking years, but I persevered	Before '07, in Chicago ain't been no brothas makin' it under thirty. I got denied membership for three goddamn years, but I kept on pushin'.
no diss to the good bruhz Josh either, but he came in a whole year before and didn't get shit to pop..wehad the city on fire.	No diss to the good brother Josh either, but he came in a whole year before and didn't get shit to pop...We had the city on fire	Ain't no disrespect to my good brotha Josh neither, but he come in a whole year befoah and didn't git nothin' to pop...We had the city burnin'.
We wasn't on some fuck youtube shit! We traveled talked shit andgot to know the bruhz!	We were not saying, \"Fuck youtube.\" We traveled, talked to people, and got to know those people	We weren't sayin', "Fuck youtube." We was travelin', talkin' to folks, and learnin' 'bout them people.
Yeah, she is ridiculous like her mother and should mind her own business!They will work it out!	Yes, she is ridiculous like her mother and should mind her own business!They will work it out	Yessiree, she's just as nutty as her mama, and she'd best stick to her own affairs! They'll figure it out.
Wait a min... this Cassie "Indo" track is pretty dope... Solangehelped her make a hit	Wait a minutes. This Cassie \"Indie\" track is pretty dope. Solangehelped her make a hit.	Hold up a minute y'all. This here "Indie" track by Cassie is really something else. Solange helped her make it a real banger.
Why do haters eat beans for dinner? So they can takea bubble bath lmao. Hater	Why do critics eat beans for dinner? So they can takea bubble bath, hahaha. Critic	Why do them critics eat beans for supper? It's so they can soak in a tub full of bubbles, hehe. Critic.
I be so happy when i wake up from a bad dream....custhey be feelin too real	I am so happy when I wake up from a bad dream because they feel too real	I's mighty pleased when I comes awake from a nasty nightmare 'cause they feels too real to me.
Damn. I haven't been on Twitter in a long time letme see what's going on	Man, I haven't been on Twitter in a long time letme see what's going on	Man, I ain't been on Twitter in a good while, lemme check it out and see what's shakin'.
Why my dude just tweet: Are you Jewish? Cause you givin' me a look like Jewish this dickwas in your mouth. Lmmfao	Why did my friend just Tweet \"Are you Jewish? Because you are giving me a look like you wish this peniswas in your mouth.\" Laughing my mother fucking ass off.	Why did my buddy go 'n' Tweeted, "You Jewish? 'Cause you got that look on yer face like you'd rather have this here dick in yer mouth." Crackin' up, laughin' mama's ass off.
Lmao Im goin to bed, shit really just blew me to the max cnt help but laugh cuz of course it'll endup being flipped on me	Laughing my ass off. I am going to bed. Shit really just blew me to the maximum. I cannot help but laugh because, of course it will endup being flipped on me.	I'm laughin' mah socks off 'ere. I's headin' to bed. Shit, it really did blow me away to the max. I just can't help but laugh 'cause, of course it will end up bein' flipped on me.
Special sunday shoutout to the old church lady wit the seethrou suit on P.S like the way yo stockings double up as abra too Stupid sexy lol	Special Sunday shout-out to the old church lady with the see through suit on. P.S. I like the way your stockings double up as abra too, stupid sexy, that's funny	Special Sunday shout-out to that ol' church lady wearin' that see-through dress on. P.S. I do declare, I rightly enjoy the way them stockings of yours doubles up as both hose and abracadabra, ya silly thing, that's a good one
I'm gonna post this & turn twitter off. It's so frustrating that everyone says this yet knows nothing.I hope he gets better.	I am going to post this and turn off Twitter. It is so frustrating that everyone says this, yet know nothing. I hope he gets better.	I'm fixin' to put this up on Twitter and then log off. It's just plain aggravatin', how everybody goes on about it, but don't seem to know nothin'. I sure do hope he gets better though.
Sometimes i think you were you raised on a farm Cause you sholl know howto raise a cock. lmmfao	Sometimes I think you were raised on a farm, because you should know howto raise a cock. Laughing my motherfucking ass off.	Sometimes I reckon you grew up out in the country, 'cause you oughta know how to take care of a rooster. Chortlin' my momma's good-timin' ass off.
I think ima have 2 make dat one phone call, ndlet my bae know wassup.	I think I will  have to make that one phone call, andlet my boyfriend know what is going on	I reckon I'll hafta make that one call to the phone, and tell my boyfriend what's goin' on.
When i get lonely I enjoy romantic scrolls up and down yourtimeline cuz you so sexy!	When I get lonely, I enjoy scrolling romantically through yourtimeline because you're so sexy	When I feels all alone, I do enjoy sittin' here and scrollin' through them pictures on your timeline. You're just somethin' else, ain't ya?
At ur best you are love, ur a positive motivating force within my life. And if you feel the need towonder why, let me know....	At your best you are love. You are a positive, motivating force within my life. And if you feel the need toask why, let me know	At your finest, you's pure love. You's a real upbeat, inspiring influence in my life. An' if y'all feel the hankerin' to ask why, just lemme know.
wish I could Come visit......Cali......I'ma get out there when I get my incometax tovacate.. Maybe we'll link up..	I wish I could visit California, When I get my income tax refund  I will go On a vacation. Maybe we can arrange a time to see each other	I do believe I'd like to pay a visit to Californy, once I git mah income tax refund in hand, I'll be hoppin' on a plane or somethin', for a vacay. Maybe we can work out a time fer us to see each other.
Excuse me miss but you need to stop being so damn sexy..... damn I forgot whatI was gone post lol	Excuse me miss, but you need to stop being so damn sexy. Damn, I forgot whatI was going to post. Laugh out loud.	Excuse me ma'am, but you really do need to quit bein' so blamed sexy. Lawd, I done forgot what I was fixin' to type. Hee-haw.
Can't wait to meet up with my boys, and at this PG-Hueytown Basketball game! Gunna bea good friday coming soon!	I can't wait to meet up with my boys, and at this PG-Hueytown Basketball game! Going to bea good Friday coming soon	I'm real excited to get together with my pals, an' that's gonna be at this here PG-rated Hueytown Basketball game. Gonna be a fine Friday comin' up soon.
cfblive yall keep hollering fsu they beat clemson who only legitimate win was against georgia,who's notwhat we thought they were.	Because you all keep hollering. FSU, they beat Clemson, whose only legitimate win was against Georgia, who is notwhat we thought they were.	Y'all just keep carryin' on. FSU, they whupped Clemson, but the only real win they had was against Georgia, who ain't what we thought they was.
I had my gum blessed by an Angel this morning. Imma chew thesleeves off this gum lol	I had my gum blessed by an angel this morning. I'm going to chew thesleeves off of this gum, haha	This mornin', an angel come and bless these here gums of mine. Now, I aim to chew the living daylights outta these gum wrappers, hehe.
Amazed, I just downloaded and watched what I missed last night on besides thisis my new favorite show.	I am amazed, I just downloaded and watched what I missed last night. Besides, thisis my new favorite show	I'm plumb shocked, I jus' downloaded and watched what I missed last night. An' this here's my new favorite show.
Its a beautiful night to have a beautiful dream. If I dream about that sexy gurl doesn*t thatmake you my dream gurl?!	Its a beautiful night to have a beautiful dream. If I dream about that sexy girl, doesn't thatmake you my dream girl	It's purty as a paintin' tonight for havin' some real nice dreams. If I'm dreamin' 'bout that there sexy gal, don't that make her my dream gal?
I look at it like this. Even the Haters got Love for me. You know why?? Because they Love ToHate me. HATE ON PLAYA.	Here's how I see it: even the people who don't like me actually love me. Do you know? Because they enjoy it. They don't like me. Continuing disliking me.	Here's my take on it: them folks that don't care for me, they do love me in their own way. Yessiree, they do. They might not be showin' it, but deep down, they enjoy havin' me around. They don't like me, mind you, but they do love me. Keep on disliking me, I reckon.
lol I will we need to have a nail day well I dnt need mynails done just my feet	We need to have a fingernail day. Actually, I don't need myfingernails done, just my toenail	We gotta have us a fingernail day, y'all. Truth be told, I don't need my fingers nails done, just my toes nails.
See idk if it's Cuz we don't go to the same schools or our lives changing it's likeour communication all fucked up	See, I don’t know if it’s because we don’t go to the same schools or our lives are changing. It’s likeour communication is all fucked up.	See, I ain't sure if it's 'cause we don't attend the same schools or our lives is changin'. It's like our communication is all jumbled up.
if u got sumthin to say bout my child tell me nd not da net BC BYTCHU NEED UR ASS BEAT	If you have something to say about my child, tell me and not the Internet because bitches,you need your asses beat	If y'all got somethin' to say 'bout my kid, tell me 'stead of the Internet 'cause some folks, you need to give 'em a good whuppin'.
25 people on this flight. My snoring will truly stand out.Nappy nap time. Peace out.	There are 25 people on the flight. My snoring will definitely be noticable.It is time to sleep, goodbye	There's twenty-five folks on that plane. I reckon my snorin' will for sure be noticeable. It's about time for bed, so long.
Aye ? Why niggas act like they toooo good to be promoters ? Never understoodthat... They make crazy money	Hey? Why do these guys act like they are too good to be promoters? I have never understoodthat... They make a lot of money.	Heck, why these fellas actin' all high and mighty like they ain't got no business bein' promoters? I just don't get it... They rake in a whole lotta cash.
I swear to God I was just thinking is that why Dae Dae calls me thatlmao" so you're just understanding	I swear to God, I was just thinking, \"Is that why Dae Dae calls me that,laughing my ass off?\" So you are just understanding.	I swear on God's life, I was just ponderin', "Could that be the reason Dae Dae gives me that name, laughin' my head off?" So you're just gettin' it.
wats up rappers? Y'all still shooting hoops with me today? My mom made ox tail andcook up rice.. No pressure...	What's up, rappers? Are you all still shooting hoops with me today? My mom made ox tail andcook-up rice. No pressure	Y'all rapper folks, how's it goin'? Y'all still hangin' out shootin' hoops with me today? My mama cooked up some good eats - ox tail and cook-up rice. No need to put on the pressure.
I got all these damn drugs inside me babyyy, They get me feelin likeI'm goin in a matrix	I have all these damn drugs inside me, baby. They have me feeling likeI'm going into a matrix	I got all these here dang drugs in me, sweetheart. Them drugs got me feelin' like I'm fixin' to step into a matrix.
He's never with no other chick, fronting like he's slick.Cause it's levels to this shit andshe could never be ME.	He's never with any other woman, acting like he's cool. Because there's levels to this shit andshe could never be me	He don't never be with no other woman, actin' all nonchalant. 'Cause there's different levels to this here business and she could never be me.
I want ppl to understand I kirk because I hate weak and raggedy bitches not more so raggedy buthow they carry them sleeves	I want people to understand that I go crazy because I hate weak and raggedy bitches, not so much raggedy, buthow they carry themselves	I wanna make it clear to folks that I gets real crazy 'cause I can't stand them sorry, weak, and shabby women, ain't so much 'bout bein' shabby, but more 'bout how they carry themselves.
U kiss me on the lips at night and tell me how much you love me you hold me close andnever let me b lonely!	You kiss me on the lips at night and tell me how much you love me. You hold me close andnever let me be lonely	At night, you press your lips to mine and tell me how much you adore me. You keep me near and never allow me to feel all alone.
I Remember My Past How I Used To Let Shit Disappoint Me Fast But Now I'm Like Fuck It Shidd IGot Ca$h Ta Count Nbs.!	I remember my past and how I used to let shit disappoint me quickly. But now, I am like, \"Fuck it. Shit, I have cash that counts. No big deal!\	I recollect my previous and how I'd let the little things bring me down quick. But these days, I'm thinkin', "Fuck it. Little things, they ain't got nothin' on my hard-earned cash. No biggie!"
World Studies Teacher Wild Asl For Given Us This Paper To Type In Its Due Toma >_< I'm Write ButJust Type It In School.!	Our world studies teacher is crazy for giving us this paper to write. It's due tomorrow! I'll write it butI'll just do it at school	Our world studies teacher's plum crazy for handin' us this here paper to pen down. It's gotta be in by tomorrow mornin'! I'll go ahead and write it, but I reckon I'll just do it right here at school.
Sitting here reflecting on how good God is! August has left us but guesswhat, I have no complaints!	Sitting here reflecting on how good God is! August has left us, but guesswhat? I have no complaints	Settin' here thinkin' 'bout how great God is! August done left us, but y'all guess what? I got nothin' but compliments.
My Moma Food Be So Good Its A Guaranteed Fact That It Will Make U Feel Some TypeOf Way And Fall Asleep.!	My mom's food is so good, it is a guaranteed fact that it will make you feel some typeof way and fall asleep	My mama's cookin' is sure somethin' special, it's an undeniable truth that it'll make you feel some kind of way and put you right out.
Once I began to believe what the Word of God say about me,my life began to change."	Once I began to believe what the \"Word of God\" says about me,my life began to change	Once I started thinkin' it was true what the "Word of God" says 'bout me and my life, things started changin'.
I Be Ready To Punch MFs In They Throat OMS Thats Why I Always BeQuite I'm Bipolar Asl Nbs.!	I am ready to punch the motherfuckers in their throat. Oh my science! That is why I am alwaysquiet. I am bipolar. Age, sex, and location	I'm all set to throw a right hook at those sumbitches in the throat. Lawd have mercy! That's why I'm usually quiet. I got bipolar. As for my age, sex, and location, that ain't none of y'all business.
since I didn't go to school today I guess I'll lay back down till I can findme something to get into	Since I didn't go to school today, I guess I'll lay back down till I can find myself something interesting to go do	Since I didn't attend school today, I reckon I'll just lie back down till I can find myself somethin' intriguing to go do.
Just have to deal with everything an pray to get through it... You cannever go wrong with praying	Just have to deal with everything and pray to get through it. You cannever go wrong with praying	Gotta handle everthang and pray to make it through. Ain't no mistake in puttin' faith in prayer.
oh ok I will try that out.... Well how do I ask for it if it'snot on the menu? Lol	Oh, okay. I will try that out. Well, how do I ask for it if it isnot on the menu? Laugh out loud.	Well, alrighty then. I'm gonna give that a shot. Now, how in tarnation do I go about askin' for it if it ain't listed on the menu? Ha! Ha! Ha!
I'm quiet but I just ride wit it. Moment I stop havin fun witit I'm done wit it	I am quiet but I just ride with it. The moment I stop having fun withit, I'm done with it.	I ain't got much to say, but I just go along with it. Once I stop havin' a good time with it, then I'll be through with it.
It's all in fun though. Everybody know light skin chicks withthin 'staches got fat asses	It is all in fun, though. Everybody knows that light-skin chicks withthin mustaches have fat asses.	It's all just for laughs, though. Folks know that gal's with fair skin, thin mustaches, and big ol' behinds is just a jest.
I ain't da prettiest nigga but damn bitch I juss said hello fuku mean its my job..	I'm not the most handsome guy but damn, bitch, I just said hello. Fuck,you're mean. It's my job	Ain't me the ugliest fella around here, but dang it all, gal, I just said howdy. Hell, you're a real piece of work. It's just my duty.
Lmfao...magnanimous. Nigga almost made me find a dictionary. I said fuck itand just used context clues	Lmfao (Laughing my f***ing ass off)... Magnanimous, N**** almost made me find a dictionary. I said \"screw it\",and just used context clues	LMFao (Laughin' mah fuckin' ass off)... Magnanimous, N**** near 'bout had me reachin' for a dictionary. I said "screw it", and just used context clues.
That when u walk pass Victoria secrets & a lady is picking up underwearthen you both make contact	That moment when you walk past Victoria Secret, and a lady is purchasing underwear,then you both make eye contact	That time when you stroll by Victoria's Secret, and there's a woman buyin' lingerie, then y'all lock eyes.
Whatup, I'm cool. Just been staying out the way. How youand that lil lady doing?	Hello, I'm doing well. I've just been behaving myself and staying out of trouble. How are youand your wife doing	Hey y'all, I'm doin' fine. Ain't been up to much, just tryin' to be good and stay outta trouble. Y'all doin' alright? How 'bout your missus?
Hairy pussy is not to be eaten, u can fuck it tho, don'tturn it down completely "	Hairy vaginas are not meant to have cunnilingus preformed upon it. You can have sex with it though, don't turn it down completely	Hairy pussies ain't meant for eatin' 'em out. But ya can still do the deed with 'em, so don't knock it completely.
But for me and Noelle to be eating Krispy Kreme donuts this time anight lol we so fat	But for me and Noelle to be eating Krispy Kreme donuts this time ofnight. Laugh out loud. We are so fat.	But for me and Noelle to be eatin' them there Krispy Kreme donuts in the middle of the night, hee-haw! We're plumb full.
A nigga ain't never around when he on top! But will do everything in his power to bringyou down when he down	A guy is never around when he's on top! But he will do everything in his power to bringyou down when he's down.	A fella ain't never around when he's on top, but he'll do everythang he can to drag you down when he's down.
and how long ago was that? Lmfaoo. I been since I could remember now. . I could shed a tear I'mso happy for u lol	and how long ago was that? I'm laughing hysterically. I been since I could remember now...I could shed a tear I'mso happy for you. I'm laughing	an' how long agone was that? I's laughin' my head off! I've bin sence I can recollect now...I could cry I'm so happy for ya. I's laughin'
Just woke up from a nap I really don't know howI fell asleep that fast	I just woke up from a nap.  I really don't know howI fell asleep that fast	I jus' come to, havin' took a little catnap. Ain't rightly sure how I dozed off so quick like that.
